"Yoochoose","Yoochoose"
"General Settings","Allgemeine Einstellungen"
"Disabled","Deaktiviert"
"API Settings","API-Benutzerdaten"
"Yoochoose Client ID","Yoochoose Kundennummer"
"If you don't have a Client ID yet, <a href=""https://config.yoochoose.net/registration/registration.jsp?role=magento&lang=en"" target=""_blank"">click here</a>.","Wenn Sie noch keine Kundennummer haben, <a href=""https://config.yoochoose.net/registration/registration.jsp?role=magento&lang=de"" target=""_blank"">klicken Sie hier</a>."
"Yoochoose License Key","Yoochoose Lizenzschlüssel"
"Yoochoose License Type","Yoochoose Lizenztyp"
"Will be filled automatically after saving with correct license data","Wird nach dem Speichern mit korrekten Lizenz-Informationen automatisch befüllt."
"License successfully verified.","Ihre Lizenz wurde bestätigt."
"License could not be verified.","Ihre Lizenz konnte nicht bestätigt werden."
"Events","Events"
"Display Tracking Pixel with help of Javascript","Javascript benutzen, um Trackingpixel darzustellen"
"Yoochoose Base URL","Yoochoose Basis-URL"
"Tracking Pixel will be rendered after the rest of the page; recommended for performance reasons","Tracking-Pixel wird erst nach dem Rest der Seite erstellt; aus Performance-Gründen empfohlen."
"Cross Selling","Cross-Selling"
"Up Selling","Up-Selling"
"Related Products","Ähnliche Produkte"
"Display Yoochoose Recommendations in Crossselling Block","Yoochoose-Empfehlungen im Cross-Selling-Block anzeigen"
"Display Yoochoose Recommendations in Upselling Block","Yoochoose-Empfehlungen im Up-Selling-Block anzeigen"
"Display Yoochoose Recommendations in Related Products Block","Yoochoose-Empfehlungen im Ähnliche-Produkte-Block anzeigen"
"Scenario used","Verwendetes Szenario"
"Prefer manually entered recommendations","Manuell angelegte Verknüpfungen bevorzugt darstellen"
"Don't display otherwise","Andernfalls nicht darstellen"
"Max count of recommendations","Maximale Anzahl Verknüpfungen"
"Registered Clicks","Registrierte Klicks"
"Registered Buys","Registrierte Käufe"
"""Also purchased"" recommendations","Anzahl der Abrufe von Empfehlungen ""Kunden kauften auch …"""
"""Also clicked"" recommendations","Anzahl der Abrufe von Empfehlungen ""Kunden interessierten sich auch …"""
"""Top selling"" recommendations","Anzahl der Abrufe von Empfehlungen ""Meistverkaufte Artikel …"""
"Statistics","Statistiken"

"Item Type %s unknown.","Item Type %s unbekannt."
"Yoochoose Tracking","Yoochoose Tracking"

"Yoochoose User Id","Yoochoose Kunden-ID"
